mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__colsample_bytree,param_reg__gamma,param_reg__learning_rate,param_reg__max_depth,param_reg__min_child_weight,param_reg__n_estimators,param_reg__reg_alpha,param_reg__reg_lambda,param_reg__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.648291873931885,0.05058027261996419,0.15525403022766113,0.01172522220128562,0.6541952654711847,0.26635551081911335,0.12326056398865025,6,4,240,0.2784773944115559,0.7009143930685319,0.834830547480174,"{'reg__colsample_bytree': np.float64(0.6541952654711847), 'reg__gamma': np.float64(0.26635551081911335), 'reg__learning_rate': np.float64(0.12326056398865025), 'reg__max_depth': 6, 'reg__min_child_weight': 4, 'reg__n_estimators': 240, 'reg__reg_alpha': np.float64(0.2784773944115559), 'reg__reg_lambda': np.float64(0.7009143930685319), 'reg__subsample': np.float64(0.834830547480174)}",-0.002079963381971621,-0.002006651792457867,-0.0020255151034341513,-0.0020614280318707293,-0.001974258654965667,-0.002029563392940007,3.782977196748332e-05,23
4.801920366287232,0.10011711431334228,0.15515036582946778,0.012358754179263976,0.650563418758626,0.26461624458652244,0.06802493472040093,3,1,164,0.012515391845625334,1.038620510356468,0.6009513350265883,"{'reg__colsample_bytree': np.float64(0.650563418758626), 'reg__gamma': np.float64(0.26461624458652244), 'reg__learning_rate': np.float64(0.06802493472040093), 'reg__max_depth': 3, 'reg__min_child_weight': 1, 'reg__n_estimators': 164, 'reg__reg_alpha': np.float64(0.012515391845625334), 'reg__reg_lambda': np.float64(1.038620510356468), 'reg__subsample': np.float64(0.6009513350265883)}",-0.0020846464789022047,-0.002010326343251719,-0.0020291007019507873,-0.002067748593617505,-0.001978587118913046,-0.0020340818473270524,3.836413021819622e-05,28
3.7933775901794435,0.030033143366969807,0.13337550163269044,0.004872481748018516,0.7171237568197908,0.18327429980006368,0.12130273914206462,4,4,113,0.05935205444632195,0.6940837248509603,0.7862493294513309,"{'reg__colsample_bytree': np.float64(0.7171237568197908), 'reg__gamma': np.float64(0.18327429980006368), 'reg__learning_rate': np.float64(0.12130273914206462), 'reg__max_depth': 4, 'reg__min_child_weight': 4, 'reg__n_estimators': 113, 'reg__reg_alpha': np.float64(0.05935205444632195), 'reg__reg_lambda': np.float64(0.6940837248509603), 'reg__subsample': np.float64(0.7862493294513309)}",-0.0020734729547915204,-0.0020027205933010996,-0.002020714304079609,-0.0020572855766408525,-0.001970933533526683,-0.002025025392467953,3.695917891580753e-05,18
6.860617160797119,0.9219993147178139,0.15542945861816407,0.010329981127871448,0.9971788678267222,0.29133030231900076,0.0803917321161505,5,5,259,0.15589610662738815,0.6083214991015091,0.6043882058472662,"{'reg__colsample_bytree': np.float64(0.9971788678267222), 'reg__gamma': np.float64(0.29133030231900076), 'reg__learning_rate': np.float64(0.0803917321161505), 'reg__max_depth': 5, 'reg__min_child_weight': 5, 'reg__n_estimators': 259, 'reg__reg_alpha': np.float64(0.15589610662738815), 'reg__reg_lambda': np.float64(0.6083214991015091), 'reg__subsample': np.float64(0.6043882058472662)}",-0.0020820265247403964,-0.0020118736023694798,-0.0020297761726878133,-0.002067084176988012,-0.0019808634656384564,-0.0020343247884848314,3.669193884503023e-05,29
6.535296869277954,0.19331678026344823,0.15099101066589354,0.003139459591959772,0.7296972825637964,0.29726953162373615,0.08131412878059927,3,1,273,0.0011482279052568932,0.7813703092429134,0.8623296169697011,"{'reg__colsample_bytree': np.float64(0.7296972825637964), 'reg__gamma': np.float64(0.29726953162373615), 'reg__learning_rate': np.float64(0.08131412878059927), 'reg__max_depth': 3, 'reg__min_child_weight': 1, 'reg__n_estimators': 273, 'reg__reg_alpha': np.float64(0.0011482279052568932), 'reg__reg_lambda': np.float64(0.7813703092429134), 'reg__subsample': np.float64(0.8623296169697011)}",-0.002081198433176771,-0.0020079780003916586,-0.002026738431157111,-0.002065455850627653,-0.00197488974464483,-0.0020312520919996044,3.84793575179943e-05,26
5.3468669891357425,0.07707081761025691,0.16604456901550294,0.007345231578237673,0.7994341385156624,0.21687112062220498,0.04453268565208614,3,3,161,0.2689740341711065,0.837490352664173,0.8543789707044382,"{'reg__colsample_bytree': np.float64(0.7994341385156624), 'reg__gamma': np.float64(0.21687112062220498), 'reg__learning_rate': np.float64(0.04453268565208614), 'reg__max_depth': 3, 'reg__min_child_weight': 3, 'reg__n_estimators': 161, 'reg__reg_alpha': np.float64(0.2689740341711065), 'reg__reg_lambda': np.float64(0.837490352664173), 'reg__subsample': np.float64(0.8543789707044382)}",-0.0020765032507085407,-0.002003270509453678,-0.0020230046618500428,-0.002058912896661813,-0.0019705816059504082,-0.0020264545849248967,3.802526542101955e-05,22
5.653087949752807,0.04745727838087443,0.2217777729034424,0.0033227879201386964,0.7106717134441847,0.10206876402665883,0.040507460125836406,6,4,138,0.06466721646400893,1.0886458216064137,0.827776493828918,"{'reg__colsample_bytree': np.float64(0.7106717134441847), 'reg__gamma': np.float64(0.10206876402665883), 'reg__learning_rate': np.float64(0.040507460125836406), 'reg__max_depth': 6, 'reg__min_child_weight': 4, 'reg__n_estimators': 138, 'reg__reg_alpha': np.float64(0.06466721646400893), 'reg__reg_lambda': np.float64(1.0886458216064137), 'reg__subsample': np.float64(0.827776493828918)}",-0.00206910117599921,-0.001996558963603155,-0.002015048467566545,-0.002050126898614249,-0.0019642257490831727,-0.002019012250973266,3.7412415559678974e-05,13
8.675082111358643,0.9985727277757649,0.20186924934387207,0.014478893941052567,0.6512298675719003,0.012423165003665181,0.11675113615325614,4,2,292,0.14078457007716955,0.8191776483088513,0.6570535220278003,"{'reg__colsample_bytree': np.float64(0.6512298675719003), 'reg__gamma': np.float64(0.012423165003665181), 'reg__learning_rate': np.float64(0.11675113615325614), 'reg__max_depth': 4, 'reg__min_child_weight': 2, 'reg__n_estimators': 292, 'reg__reg_alpha': np.float64(0.14078457007716955), 'reg__reg_lambda': np.float64(0.8191776483088513), 'reg__subsample': np.float64(0.6570535220278003)}",-0.0020643450129719234,-0.001994138416371809,-0.0020169062039101437,-0.002044809907461617,-0.0019641672505830835,-0.002016873358259715,3.557758066628287e-05,9
5.510547018051147,0.03825202772891321,0.1474214553833008,0.011859548508254771,0.7417361300476442,0.10458506044477102,0.12698017661800481,3,5,199,0.22765809636143514,0.9006974191141157,0.8099310875075907,"{'reg__colsample_bytree': np.float64(0.7417361300476442), 'reg__gamma': np.float64(0.10458506044477102), 'reg__learning_rate': np.float64(0.12698017661800481), 'reg__max_depth': 3, 'reg__min_child_weight': 5, 'reg__n_estimators': 199, 'reg__reg_alpha': np.float64(0.22765809636143514), 'reg__reg_lambda': np.float64(0.9006974191141157), 'reg__subsample': np.float64(0.8099310875075907)}",-0.002067461810334357,-0.00199356462895355,-0.002015672102112084,-0.0020491082290081345,-0.001962219699646438,-0.0020176052940109124,3.77554287587181e-05,10
5.820921754837036,0.1203149987157331,0.15951170921325683,0.007064874821786422,0.7374650050806033,0.06874200265788862,0.057338685593926755,3,4,196,0.07490097753046601,0.7827512918717587,0.7018782735434678,"{'reg__colsample_bytree': np.float64(0.7374650050806033), 'reg__gamma': np.float64(0.06874200265788862), 'reg__learning_rate': np.float64(0.057338685593926755), 'reg__max_depth': 3, 'reg__min_child_weight': 4, 'reg__n_estimators': 196, 'reg__reg_alpha': np.float64(0.07490097753046601), 'reg__reg_lambda': np.float64(0.7827512918717587), 'reg__subsample': np.float64(0.7018782735434678)}",-0.002063855762895906,-0.0019900471682843613,-0.0020116104789631717,-0.0020456526050261856,-0.001959772252658456,-0.0020141876535656163,3.743635924951718e-05,5
